algorithm,length,comparisons,swaps
bubblesort,100,9900.0,2452.5
bubblesort,150,22350.0,5400.0
bubblesort,200,39800.0,10334.0
bubblesort,250,62250.0,15312.5
bubblesort,300,89700.0,22263.0
bubblesort_2,100,9108.0,2401.5
bubblesort_2,150,20413.0,5568.5
bubblesort_2,200,36417.0,9330.5
bubblesort_2,250,58017.0,15772.0
bubblesort_2,300,85663.5,21472.0
bubblesort_plus,100,4949.5,1734.5
bubblesort_plus,150,11175.0,3571.0
bubblesort_plus,200,19898.5,5795.0
bubblesort_plus,250,31123.0,7717.5
bubblesort_plus,300,44849.5,10276.5
