algorithm,length,means
bubblesort,100,0.013420200999098597
bubblesort,150,0.02350048239895841
bubblesort,200,0.043469284300226715
bubblesort,250,0.07167662429965276
bubblesort,300,0.1155587947992899
bubblesort_2,100,0.010075472299649845
bubblesort_2,150,0.03138612769980682
bubblesort_2,200,0.05133136500007822
bubblesort_2,250,0.05957348519950756
bubblesort_2,300,0.11814455350031494
bubblesort_plus,100,0.006331274199692416
bubblesort_plus,150,0.013147796600605943
bubblesort_plus,200,0.021056786100234603
bubblesort_plus,250,0.04073053679967416
bubblesort_plus,300,0.04700399019966426
