algorithm,length,comps,swaps
bubblesort,10,90,31
bubblesort,10,90,28
bubblesort,25,528,161
bubblesort,25,528,172
bubblesort,50,1960,630
bubblesort,50,1911,618
bubblesort,100,8316,2636
bubblesort,100,9603,2270
bubblesort,150,18923,5147
bubblesort,150,19519,5266
bubblesort,200,36218,9764
bubblesort,200,38606,9235
bubblesort,250,56523,15589
bubblesort,250,58017,16318
bubblesort,300,78338,21923
bubblesort,300,77441,21504
insertionsort,10,24,2
insertionsort,10,45,17
insertionsort,25,300,189
insertionsort,25,300,174
insertionsort,50,1225,566
insertionsort,50,1225,476
insertionsort,100,4950,1629
insertionsort,100,4950,1742
insertionsort,150,11175,3609
insertionsort,150,11175,3692
insertionsort,200,19900,6059
insertionsort,200,19900,5629
insertionsort,250,31125,8572
insertionsort,250,31125,7380
insertionsort,300,44850,10597
insertionsort,300,44850,9868
insertionsort2,10,55,8
insertionsort2,10,55,8
insertionsort2,25,325,24
insertionsort2,25,325,23
insertionsort2,50,1275,42
insertionsort2,50,1275,43
insertionsort2,100,5050,93
insertionsort2,100,5050,97
insertionsort2,150,11325,144
insertionsort2,150,11325,139
insertionsort2,200,20100,194
insertionsort2,200,20100,193
insertionsort2,250,31375,243
insertionsort2,250,31375,245
insertionsort2,300,45150,290
insertionsort2,300,45150,293
insertionsort3,10,55,8
insertionsort3,10,55,5
insertionsort3,25,325,22
insertionsort3,25,325,20
insertionsort3,50,1275,44
insertionsort3,50,1275,45
insertionsort3,100,5050,98
insertionsort3,100,5050,94
insertionsort3,150,11325,141
insertionsort3,150,11325,147
insertionsort3,200,20100,197
insertionsort3,200,20100,193
insertionsort3,250,31375,241
insertionsort3,250,31375,237
insertionsort3,300,45150,292
insertionsort3,300,45150,290
