algorithm,length,elapsed
bubblesort,100,0.014705613000842277
bubblesort,100,0.01533168899914017
bubblesort,100,0.013394328998401761
bubblesort,100,0.01382137799737393
bubblesort,100,0.01729940999939572
bubblesort,100,0.009831953997490928
bubblesort,100,0.011659402996883728
bubblesort,100,0.011543519001861569
bubblesort,100,0.016556578000745503
bubblesort,100,0.010058136998850387
bubblesort,150,0.02672868199806544
bubblesort,150,0.025035408001713222
bubblesort,150,0.023418531000061193
bubblesort,150,0.02332498800024041
bubblesort,150,0.02079877399955876
bubblesort,150,0.021007782997912727
bubblesort,150,0.02310059899900807
bubblesort,150,0.025607209998270264
bubblesort,150,0.024724225997488247
bubblesort,150,0.021258622997265775
bubblesort,200,0.03796331400008057
bubblesort,200,0.040170601998397615
bubblesort,200,0.05236639400027343
bubblesort,200,0.0657221670007857
bubblesort,200,0.040872580000723246
bubblesort,200,0.038340222999977414
bubblesort,200,0.03926532900004531
bubblesort,200,0.04018763899875921
bubblesort,200,0.04119697100031772
bubblesort,200,0.03860762400290696
bubblesort,250,0.07060132800324936
bubblesort,250,0.0672370639986184
bubblesort,250,0.06929528699765797
bubblesort,250,0.07186566399832373
bubblesort,250,0.06716658799996367
bubblesort,250,0.076270781999483
bubblesort,250,0.06867742500253371
bubblesort,250,0.07866154899966205
bubblesort,250,0.06793672499770764
bubblesort,250,0.07905383099932806
bubblesort,300,0.11029385999790975
bubblesort,300,0.16653217600105563
bubblesort,300,0.1735288630006835
bubblesort,300,0.10192010899845627
bubblesort,300,0.09744275000048219
bubblesort,300,0.09457291600119788
bubblesort,300,0.10483146099795704
bubblesort,300,0.10408775499672629
bubblesort,300,0.09774955199827673
bubblesort,300,0.10462850600015372
bubblesort_2,100,0.008492488999763737
bubblesort_2,100,0.008342058998096036
bubblesort_2,100,0.010109161001309985
bubblesort_2,100,0.011679799001285573
bubblesort_2,100,0.009280636000767117
bubblesort_2,100,0.009693943000456784
bubblesort_2,100,0.008734858998650452
bubblesort_2,100,0.012672662996919826
bubblesort_2,100,0.01305409699853044
bubblesort_2,100,0.008695017000718508
bubblesort_2,150,0.021127259999047965
bubblesort_2,150,0.027177415002370253
bubblesort_2,150,0.028454087001591688
bubblesort_2,150,0.026621870998496888
bubblesort_2,150,0.02237501299896394
bubblesort_2,150,0.02563505799844279
bubblesort_2,150,0.0243037229993206
bubblesort_2,150,0.06634322800164227
bubblesort_2,150,0.04469376799897873
bubblesort_2,150,0.027129853999213083
bubblesort_2,200,0.0476328469994769
bubblesort_2,200,0.037080874000821495
bubblesort_2,200,0.03820704099780414
bubblesort_2,200,0.0390181710026809
bubblesort_2,200,0.036564720001479145
bubblesort_2,200,0.04214408400002867
bubblesort_2,200,0.04325161599990679
bubblesort_2,200,0.1327428289987438
bubblesort_2,200,0.05423700400206144
bubblesort_2,200,0.04243446399777895
bubblesort_2,250,0.05367866099913954
bubblesort_2,250,0.055818021999584744
bubblesort_2,250,0.05438588399920263
bubblesort_2,250,0.05724940299842274
bubblesort_2,250,0.06120674499834422
bubblesort_2,250,0.06362429799992242
bubblesort_2,250,0.06445441699906951
bubblesort_2,250,0.06594071200015605
bubblesort_2,250,0.06453188700106693
bubblesort_2,250,0.0548448230001668
bubblesort_2,300,0.08983720100150094
bubblesort_2,300,0.10041601899865782
bubblesort_2,300,0.0889848400001938
bubblesort_2,300,0.08997984700181405
bubblesort_2,300,0.08844880499964347
bubblesort_2,300,0.08862450000015087
bubblesort_2,300,0.11577035099981003
bubblesort_2,300,0.22577875400020275
bubblesort_2,300,0.17569479300073
bubblesort_2,300,0.11791042500044568
bubblesort_plus,100,0.005786285000795033
bubblesort_plus,100,0.008712177001143573
bubblesort_plus,100,0.008870681998814689
bubblesort_plus,100,0.0052449359973252285
bubblesort_plus,100,0.004869881999184145
bubblesort_plus,100,0.007552038998255739
bubblesort_plus,100,0.004474679000850301
bubblesort_plus,100,0.005003598998882808
bubblesort_plus,100,0.005190412000956712
bubblesort_plus,100,0.007608051000715932
bubblesort_plus,150,0.015103590001672274
bubblesort_plus,150,0.008910271000786452
bubblesort_plus,150,0.011168472999997903
bubblesort_plus,150,0.01686019800035865
bubblesort_plus,150,0.015216928000882035
bubblesort_plus,150,0.012975755998922978
bubblesort_plus,150,0.009463794001931092
bubblesort_plus,150,0.018899577000411227
bubblesort_plus,150,0.010977990001265425
bubblesort_plus,150,0.011901388999831397
bubblesort_plus,200,0.026644863999536028
bubblesort_plus,200,0.017464542001107475
bubblesort_plus,200,0.020703402999060927
bubblesort_plus,200,0.022817508001026
bubblesort_plus,200,0.0184977680000884
bubblesort_plus,200,0.02602952600136632
bubblesort_plus,200,0.018094123999617295
bubblesort_plus,200,0.024997158001497155
bubblesort_plus,200,0.018329111000639386
bubblesort_plus,200,0.01698985699840705
bubblesort_plus,250,0.034826922998036025
bubblesort_plus,250,0.03903383899887558
bubblesort_plus,250,0.07461131299714907
bubblesort_plus,250,0.053327568999520736
bubblesort_plus,250,0.04018358399844146
bubblesort_plus,250,0.03736212600051658
bubblesort_plus,250,0.0282947840023553
bubblesort_plus,250,0.030862342999171233
bubblesort_plus,250,0.0349889550016087
bubblesort_plus,250,0.03381393200106686
bubblesort_plus,300,0.04974159299672465
bubblesort_plus,300,0.042051914999319706
bubblesort_plus,300,0.05253489499955322
bubblesort_plus,300,0.04377241600013804
bubblesort_plus,300,0.04799764800191042
bubblesort_plus,300,0.046801568001683336
bubblesort_plus,300,0.049396530997910304
bubblesort_plus,300,0.048888051001995336
bubblesort_plus,300,0.046076135000475915
bubblesort_plus,300,0.042779149996931665
