algorithm,length,t,comps,swaps
bubblesort,10,3.7213906762190166e-05,90.0,25.4
bubblesort,20,0.00014764929073862731,380.0,93.1
bubblesort,30,0.00037455080018844455,870.0,219.0
bubblesort,40,0.0005543534993194043,1560.0,388.6
bubblesort,50,0.0008986242028186098,2450.0,589.8
bubblesort,60,0.0012926824972964823,3540.0,859.3
bubblesort,70,0.0019057857018196956,4830.0,1196.1
bubblesort,80,0.0023710956040304152,6320.0,1574.2
bubblesort,90,0.0032050445064669476,8010.0,1996.7
bubblesort2,10,4.211739869788289e-05,68.4,25.4
bubblesort2,20,0.00012214410235174,286.9,93.1
bubblesort2,30,0.0005004954989999532,742.4,219.0
bubblesort2,40,0.0005108012992423028,1271.4,388.6
bubblesort2,50,0.0009240095037966967,2121.7,589.8
bubblesort2,60,0.0013714663946302608,3121.1,859.3
bubblesort2,70,0.0017752165964338928,4271.1,1196.1
bubblesort2,80,0.002153132000239566,5530.0,1574.2
bubblesort2,90,0.0029393957986030726,7022.1,1996.7
insertionsort,10,2.8383894823491572e-05,45.0,25.1
insertionsort,20,8.91303992830217e-05,190.0,87.8
insertionsort,30,0.0001951262034708634,435.0,201.0
insertionsort,40,0.00034077589807566253,780.0,348.6
insertionsort,50,0.0005599567055469378,1225.0,520.8
insertionsort,60,0.0008121412014588713,1770.0,739.6
insertionsort,70,0.000997486402047798,2415.0,996.0
insertionsort,80,0.001283470497583039,3160.0,1268.9
insertionsort,90,0.0016865483979927377,4005.0,1565.6
insertionsort2,10,4.984600236639381e-05,65.0,7.8
insertionsort2,20,0.0001050628983648494,230.0,16.3
insertionsort2,30,0.0001941654976690188,495.0,26.4
insertionsort2,40,0.0003088703029789031,860.0,34.6
insertionsort2,50,0.00046278659719973804,1325.0,45.6
insertionsort2,60,0.0006355115969199687,1890.0,56.0
insertionsort2,70,0.000818001403240487,2555.0,65.5
insertionsort2,80,0.0011383673030650244,3320.0,75.6
insertionsort2,90,0.0013877085992135107,4185.0,85.1
insertionsort3,10,2.9882704257033766e-05,65.0,7.8
insertionsort3,20,7.78546993387863e-05,230.0,16.3
insertionsort3,30,0.0001533878967165947,495.0,26.4
insertionsort3,40,0.00024790930328890683,860.0,34.6
insertionsort3,50,0.00037946920201648027,1325.0,45.6
insertionsort3,60,0.0005136195017257705,1890.0,56.0
insertionsort3,70,0.0006645357992965728,2555.0,65.5
insertionsort3,80,0.0009207136987242848,3320.0,75.6
insertionsort3,90,0.0012161063001258298,4185.0,85.1
